건강증진센터명,건강증진센터구분,소재지도로명주소,소재지지번주소,위도,경도,건강증진업무내용,운영시작시각,운영종료시각,휴무일정보,건물면적,의사수,간호사수,사회복지사수,영양사수,기타인력현황,기타이용안내,운영기관전화번호,운영기관명,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
고성군정신건강복지센터,정신보건,경상남도 고성군 고성읍 남포로 79번길 103-3,경상남도 고성군 고성읍 대독리 4,34.96945671,128.3153834,"재가정신질환자등록관리, 재활프로그램운영, 정신건강교육 등 정신건강증진사업운영",09:00,18:00,토요일+일요일+공휴일,150,1,3,1,0,,,055-670-4057,,055-670-4055,경상남도 고성군 보건소,2020-07-10,5420000,경상남도 고성군
고성군정신건강복지센터,정신보건,강원도 고성군 간성읍 수성로 30,강원도 고성군 간성읍 신안리 178,38.3776166184,128.472194,자살예방 및 정신건강증진,09:00,18:00,공휴일,,0,4,0,0,보건직 1,,033-680-4001,고성군보건소,033-680-3541,강원도 고성군보건소,2020-06-30,4340000,강원도 고성군
동구보건소 건강증진센터,건강증진,인천광역시 동구 석수로 90,인천광역시 동구 만석동 18-3,37.4830408421,126.6259350531,"운동검사/처방,영양,금연",09:00,18:00,"매주 토,일요일",282,0,1,0,1,"운동2, 금연2명",,032-770-5736,동구보건소,032-770-5736,동구보건소,2020-06-30,3500000,인천광역시 동구
울진군보건소,건강증진,경상북도 울진군 울진읍 읍내8길 61-8,,36.99621755,129.4046005,"운동:운동실 기구이용, 운동지도, 체지방측정대사증후군: 영양상담",09:00,17:00,"매주토요일,일요일공휴일",,0,1,0,1,운동처방사(1),,054-789-5081,울진군보건소,054-789-5000,울진군보건소,2020-07-13,5250000,경상북도 울진군
서천군주민건강센터,건강증진,충청남도 서천군 서천읍 사곡길 26,충청남도 서천군 서천읍 군사리 799,36.08237203,126.6897168,"운동관리,영양관리,비만관리",09:00,18:00,"매주 토요일, 일요일, 공휴일",729.42,0,0,0,1,운동처방사(2),,041-950-6748,,041-950-6713,서천군보건소,2020-07-10,4580000,충청남도 서천군
천안시자살예방센터,정신보건,충청남도 천안시 서북구 서부8길 29,충청남도 천안시 서북구 성정동 684-1,36.8197764,127.1398813,자살예방사업,09:00,18:00,"매주 토요일, 공휴일",52.38,1,1,3,0,0,0,041-571-0199,순천향대학교천안병원,041-521-5930,충청남도 천안시 서북구보건소,2020-07-06,4490000,충청남도 천안시
청수건강생활지원센터,건강증진,충청남도 천안시 동남구 청수6로 106-3(청수동),충청남도 천안시 동남구 청수동 201-1,36.7896277,127.1553906,"만성질환관리,영양관리,운동관리",09:00,18:00,"매주 토요일, 공휴일",456,0,4,0,1,1,0,041-521-2657,청수건강생활지원센터,041-521-0114,충청남도 천안시 동남구보건소,2020-07-06,4490000,충청남도 천안시
서북구정신건강복지센터,정신보건,충청남도 천안시 서북구 서부8길 29,충청남도 천안시 서북구 성정동 684-1,36.8197764,127.1398813,정신건강증진사업,09:00,18:00,"매주 토요일, 공휴일",325.14,1,0,5,0,0,0,041-578-9709,순천향대학교천안병원,041-521-5928,충청남도 천안시 서북구보건소,2020-07-06,4490000,충청남도 천안시
동남구정신건강복지센터,정신보건,충청남도 천안시 동남구 버들로 40(문화동),충청남도 천안시 동남구 문화동 112-1,36.80718993,127.1514636,정신건강증진사업,09:00,18:00,"매주 토요일, 공휴일",92.6,0,2,2,0,0,0,041-521-5011,동남구보건소,041-521-5064,충청남도 천안시 동남구보건소,2020-07-06,4490000,충청남도 천안시
천안시중독관리통합지원센터,정신보건,충청남도 천안시 동남구 버들로 40(문화동),충청남도 천안시 동남구 문화동 112-1,36.80718993,127.1514636,중독예방사업,09:00,18:00,"매주 토요일, 공휴일",94.94,0,1,3,0,0,0,041-577-8098,나사렛대학교,041-521-5056,충청남도 천안시 동남구보건소,2020-07-06,4490000,충청남도 천안시
성정건강생활지원센터,건강증진,충청남도 천안시 서북구 서부8길 29,충청남도 천안시 서북구 성정동 684-1,36.8197764,127.1398813,"만성질환관리,영양관리,운동관리,구강관리",09:00,18:00,"매주 토요일, 공휴일",825,0,3,0,1,2,0,041-521-2584,성정건강생활지원센터,041-521-2584,충청남도 천안시 서북구보건소,2020-07-06,4490000,충청남도 천안시
청도군건강증진센터,건강증진,경상북도 청도군 화양읍 청화로 79-11,경상북도 청도군 화양읍 범곡리 96,35.6486248680,128.7372614848,"수영장, 헬스장운영",06:00,21:00,"일요일, 명절",462,0,0,0,0,헬스강사1+수영강사2+접수2+환경정비3+기계실3명,회원제 및 일일입장,054-370-2669,청도군 보건소,054-370-6471,경상북도 청도군 보건소,2020-06-30,5190000,경상북도 청도군
상당정신건강복지센터,정신보건,충청북도 청주시 상당구 남일면 단재로 480,충청북도 청주시 상당구 남일면 효촌리 92-2,36.58807606,127.5047678,"정신건강, 질병예방, 건강관리",09:00,18:00,토요일+일요일+공휴일,176.25,0,0,0,0,13,,043-298-0199,상당정신건강복지센터,043-201-3164,상당보건소,2020-07-09,5710000,충청북도 청주시
은평구정신건강복지센터,정신보건,서울특별시 은평구 연서로 34길 11,서울특별시 은평구 불광동 130-2,37.6215078,126.9276985,"정신건강 교육 및 홍보, 고위험군 발견 및 연계, 전문 상담 및 관리",09:00,18:00,법정 공휴일,186,0,3,7,,1,,02-351-8680,서울특별시 은평구 보건소,02-351-8682,서울특별시 은평구 보건소,2019-09-01,3110000,서울특별시 은평구
건강증진센터,건강증진,경기도 가평군 가평읍 가화로 155-15,경기도 가평군 가평읍 읍내리 624-20,37.8329781,127.5107859,"신체활동, 영양업무",09:00,20:00,"토요일, 일요일, 국경일",246.82,0,0,0,2,2,,031-580-2833,가평군보건소,031-582-2488,가평군보건소,2019-09-03,4160000,경기도 가평군
빛가람건강생활지원센터,건강증진,전라남도 나주시 빛가람로 721,전라남도 나주시 빛가람동 202,35.0222053958,126.790659,건강증진,09:00,18:00,"매주 토요일, 일요일, 공휴일",641.58,0,2,0,0,"간호조무사(2),물리치료사(1)",,061-339-4751,나주시 보건소,061-339-4751,전라남도 나주시 보건소,2019-07-01,4830000,전라남도 나주시
나주시정신건강증진센터,정신보건,전라남도 나주시 건재로 211,전라남도 나주시 대호동 307-17,35.051091,126.7237199,정신보건,09:00,18:00,"매주 토요일, 일요일, 공휴일",,1,0,6,0,,,061-330-4114,국립나주병원,061-339-2129,전라남도 나주시 보건소,2019-07-01,4830000,전라남도 나주시
용인시정신건강복지센터,정신보건,경기도 용인시 기흥구 신갈로58번길 11,경기도 용인시 기흥구 신갈동 60-3,37.272634,127.106729,정신질환자 관리 및 정신건강증진,09:00,18:00,"매주 토,일요일 공휴일",360,1,6,16,,임상심리사(4)+행정(1),,031-286-0949,의료법인용인병원유지재단,031-324-6946,용인시 기흥구 보건소,2019-04-08,4050000,경기도 용인시
통합건강증진센터,건강증진,충청남도 계룡시 장안로 54,충청남도 계룡시 금암동 10,36.2730058,127.250047,"신체활동, 영양, 비만, 만성질환 검사 및 상담",09:00,18:00,월 ~ 금 근무,165,0,3,0,1,1,,042-840-3531,계룡시보건소,042-840-3507,계룡시보건소,2019-06-01,5580000,충청남도 계룡시
여수건강증진센터,건강증진,전라남도 여수시 시청서4길47(학동),전라남도 여수시 학동 213,34.7593155242,127.660387172,"대사증후군관리사업,영양플러스사업,신체활동사업,영양관리사업",09:00,18:00,"매주 토요일, 일요일, 공휴일",34.759613,0,1,0,2,운동처방사(3),검사전날 밤10시부터 금식,061-659-4213,자체운영,061-659-4244,전라남도 여수시청,2019-06-24,4810000,전라남도 여수시
건강증진센터,건강증진,서울특별시 서초구 남부순환로 2584,서울특별시 서초구 서초2동 1376-3,37.4835872,127.0326987,"신체활동사업 : 체성분, 체력측정에 따른 운동상담, 영양사업 : 영양플러스, 영양상담",09:00,18:00,"주5일 운영(토,일 휴무)",,0,0,0,6,운동처방사 4,,02-2155-8074,서초구보건소 건강관리과,02-2155-8074,서울특별시 서초구 보건소,2019-05-30,3210000,서울특별시 서초구
진해정신건강복지센터,정신보건,경상남도 창원시 진해구 중원동로 62,경상남도 창원시 진해구 중앙동 11-1,35.149898,128.661939,"중증정신질환관리, 자살예방 및 정신건강증진, 아동청소년정신건강증진",09:00,18:00,매주 토요일+일요일+공휴일,,1,3,2,,,,055-225-6691,진해보건소 서부보건지소,055-225-6691,경상남도 창원시청,2020-07-14,5670000,경상남도 창원시
부천시정신건강복지센터,건강증진,경기도 부천시 성오로 172,,37.5283485314,126.7960269111,"중증정신질환자관리사업, 정신건강증진사업, 재난심리지원사업, 중독예방 및 관리사업",09:00,18:00,"토요일, 일요일, 공휴일",559,1,5,21,0,0,,032-654-4024,순천향대학교부천병원,032-625-4131,부천시보건소,2020-07-17,3860000,경기도 부천시
부천시자살예방센터,정신보건,경기도 부천시 성오로 172,,37.5283485314,126.7960269111,자살예방사업,09:00,18:00,"토요일, 일요일, 공휴일",326,0,3,11,0,0,,032-654-4024,순천향대학교부천병원,032-625-4131,부천시보건소,2020-07-17,3860000,경기도 부천시
부천시아동청소년정신건강복지센터,정신보건,경기도 부천시 경인옛로 73,,37.480022,126.799935,아동청소년정신건강증진사업,09:00,18:00,"토요일, 일요일, 공휴일",168,0,2,5,0,0,,032-654-4024,순천향대학교부천병원,032-625-4131,부천시보건소,2020-07-17,3860000,경기도 부천시
건강관리센터,건강증진,서울특별시 서대문구 연희로242,서울특별시 서대문구 연희동 165-2,37.5786101663,126.9362772546,대사증후군관리,09:00,18:00,"토,일",46.8,1,3,0,2,2,,02-330-8727,서대문구보건소,02-330-8979,서대문구보건소,2020-01-01,3120000,서울특별시 서대문구
대구서구건강생활지원센터,건강증진,대구광역시 서구 서대구로7길 46,대구광역시 서구 내당동 305-22,35.8607456,128.551449,"만성질환 상담실 및 운동 프로그램 운영, 내당권역 방문건강관리사업",09:00,18:00,"토요일, 일요일, 공휴일",446.14,0,4,0,0,운동전문인력(1),,053-663-3232,서구건강생활지원센터,053-663-3111,대구광역시 서구보건소,2020-07-10,3430000,대구광역시 서구
건강증진센터,건강증진,경상북도 성주군 성밖숲길 12,,35.91741735,128.2785293,건강증진상담및교육,09:00,18:00,법정 공휴일,922,0,2,0,1,6(운동처방사(1)+금연상담사(2)+간호사(2)+영양사(1),,054-930-8193,성주군보건소,054-930-8193,성주군보건소,2020-07-15,5210000,경상북도 성주군
수영구건강증진센터,건강증진,부산광역시 수영구 수영로 637-5,부산광역시 수영구 광안동 661-1,35.1624773,129.113491,"운동,영양,비만 등 건강행태개선 업무",09:00,20:00,"일요일,공휴일",,0,0,0,1,6명,없음,051-752-4000,수영구보건소,051-752-4000,수영구보건소,2020-07-14,3380000,부산광역시 수영구
의왕시정신건강복지센터,정신보건,"경기도 의왕시 오봉로34, 의왕시보건소 별관 1층",,37.34378796,126.9719938,"생명사랑프로젝트사업, 노인자살예방사업, 청년정신건강증진사업, 치료비지원사업 등",09:00,18:00,"매주 토, 일요일 및 공휴일",,1,5,7,0,,,031-458-0682,,031-458-0682,경기도 의왕시보건소,2020-07-22,4030000,경기도 의왕시
영도구 정신건강복지센터,정신보건,부산광역시 영도구 동삼북로 3(동삼동),부산광역시 영도구 동삼동 1121,35.08304485,129.0692224,정신건강관련 상담 및 프로그램 진행,09:00,18:00,"토,일",174,1,1,9,0,5,,051-404-3379,영도구 정신건강복지센터,051-419-4882,영도구보건소,2020-07-14,3280000,부산광역시 영도구
광역정신건강복지센터,정신보건,광주광역시 동구 제봉로 27,,35.1411285958,126.9211290663,"정신건강사업 기획, 홍보, 매뉴얼 개발, 지역사회 네트워크 구축 등",09:00,18:00,매주 토요일+일요일+공휴일,,1,12,20,,,,062-600-1930,,,광주광역시청,2020-07-21,6290000,광주광역시
동두천시정신건강복지센터,정신보건,경기도 동두천시 중앙로 167,경기도 동두천시 생연동 714-10,37.89661147,127.051717,"중증전신질환관리,자사예방,정신건강증진,환경조성및인식개선 업무",09:00,18:00,공휴일,710,1,4,8,0,1,,031-863-3632,동두천시정신건강복지센터,031-860-3385,동두천시청 보건소,2020-07-21,3920000,경기도 동두천시
동두천요양원(정신요양시설),정신보건,경기도 동두천시 평화로3208번길 43-15,경기도 동두천시 하봉암동 153,37.97388525,127.0688704,"생활,심리,사회,교육,직업재활 업무",09:00,18:00,공휴일,2200,1,2,7,1,5,,031-867-9820,동두천요양원,031-860-3385,동두천시청 보건소,2020-07-21,3920000,경기도 동두천시
옥천군보건소 건강증진센터,건강증진,충청북도 옥천군 옥천읍 삼양로8길 10,충청북도 옥천군 옥천읍 삼양리 161-45,36.3044590420,127.5700747404,건강증진사업,09:00,18:00,"매주 토요일, 일요일, 공휴일",258,2,17,0,2,,,043-730-2121,충청북도옥천군보건소,,옥천군 보건소,2020-07-01,4430000,충청북도 옥천군
여주시정신건강복지센터,정신보건,경기도 여주시 여흥로160번길 14(상동),,37.2946102796,127.6403919723,정신건강증진 및 자살예방사업,09:00,18:00,주말 및 공휴일,,1,5,6,,임상심리사(2),,031-886-3435,,,경기도 여주시 보건소,2020-07-17,5700000,경기도 여주시
시민(어르신)건강증진센터,건강증진,전라북도 정읍시 수성1로 61,전라북도 정읍시 수성동 958-2,35.57798071,126.8545216,"만성질환건강상담,운동상담,영양상담,시민건강증진교육",09:00,18:00,법정공휴일,,0,1,0,1,1,,063-539-6088,전라북도 정읍시 보건소,063-539-6101,전라북도 정읍시 보건소,2020-07-10,4690000,전라북도 정읍시
장성군 임시치매안심센터,정신보건,전라남도 장성군 장성읍 청운11길 13,전라남도 장성군 장성읍 영천리 1475-4 보건소,35.3045428541,126.7824532467,"치매환자 등록 및 관리사업, 조호물품 지원, 인지재활프로그램 운영, 치매환자 가족 지원사업, 치매안심마을 운영, 치매조기검진사업, 치매치료관리비 지원, 실종예방 인식표 발급등",09:00,18:00,"일요일,?공휴일",158,0,5,2,,,,061-390-8366,장성군보건소,061-390-8373,장성군보건소,2019-06-30,4980000,전라남도 장성군
서구정신건강복지센터,정신보건,광주광역시 서구 운천로172번길 32,,35.1481692,126.8601743,"중증정신질환자관리사업, 자살예방사업, 아동청소년 정신건강관리사업, 정신건강증진사업",09:00,18:00,"매주토요일,일요일,공휴일",502,7,4,7,,1,,062-350-4195,광주광역시 서구보건소,062-350-4195,광주광역시 서구보건소,2019-09-16,3600000,광주광역시 서구
시흥시정신건강복지센터,정신보건,경기도 시흥시 호현로 55,경기도 시흥시 대야동 484-5,37.44558366,126.7852959,생애주기별 정신건강증진사업/정신장애인관리사업/자살예방사업,09:00,18:00,토요일/일요일/ 공휴일,231.4,0,6,18,0,상근직 의사(2)/심리상담사(2),,031-316-6661,가톨릭대학교산학협력단,,경기도 시흥시청,2019-09-16,4010000,경기도 시흥시
중랑구정신건강복지센터,정신보건,서울특별시 중랑구 면목로 238,서울특별시 중랑구 면목동 378-4,37.5739185,127.0850931,중증정신질환자 등록 및 사례관리아동청소년 정신건강사업정신장애인 재활프로그램 운영정신건강상담,09:00,18:00,"매주 토요일, 일요일공휴일",316.9,1,1,10,,3,,02-2276-7000,서울특별시 서울의료원,02-2094-0853,서울특별시 중랑구 보건소,2019-05-15,3060000,서울특별시 중랑구
울산광역시 북구보건소 건강증진센터,건강증진,"울산광역시 북구 산업로 1018, 2층건강관리센터",울산광역시 북구 연암동 1082,35.583448,129.3607258,만성질환 예방 및 관리,09:00,18:00,"공휴일, 주말",943.48,0,3,0,2,운동처방사(2),12:00~13:00 중식시간 이용불가,052-241-8168,울산북구보건소,052-289-3450,울산광역시 북구 보건소,2019-09-05,3720000,울산광역시 북구
정신건강복지센터,정신보건,경상북도 경산시 화랑로8길 26 우리세명정신병원 3층,경상북도 경산시 갑제동 645-4,35.8188721557,128.771815047,정신건강증진사업 및 자살예방사업,09:00,18:00,"매주 토요일, 일요일, 공휴일",151,1,2,4,0,4,www.gsmind.or.kr,053-816-7190,세명병원,053-810-6383,경상북도 경산시보건소,2019-09-11,5130000,경상북도 경산시
목포시 보건소 건강증진센터,건강증진,전라남도 목포시 원산로 45번길 5,전라남도 목포시 산정동 1676,34.80442532,126.3737232,"운동상담, 영양상담, 금연상담",09:00,18:00,토요일+일요일+공휴일,,0,3,0,1,운동처방사(1)+금연상담사(2),,061-277-4000,목포시 보건소,061-277-4000,목포시 보건소,2020-10-08,4800000,전라남도 목포시
의정부시건강증진센터,건강증진,경기도 의정부시 범골로 131,경기도 의정부시 의정부동 516,37.736191,127.039582,"건강증진센터 운영(개인별 맞춤형 운동처방, 운동·영양 교육 및 상담), 대사증후군 관리",09:00,18:00,토요일+일요일+공휴일,159.51,0,1,0,1,운동처방사(1),,031-870-6089,의정부시보건소,031-870-6010,의정부시보건소,2020-06-01,3820000,경기도 의정부시
성북건강관리센터,건강증진,서울특별시 성북구 화랑로 63,서울특별시 성북구 하월곡동 46-1,37.60270967,127.039515,"일차진료, 대사증후군관리",09:00,18:00,매주일요일+매주토요일+공휴일,331.13,3,5,0,1,"5(운동사2, 임상병리사2, 일반1)",검사 전날 밤 10시부터 금식 요망,02-2241-6102,의약과,02-2241-6108,의약과,2020-07-14,3070000,서울특별시 성북구
성북구정신건강복지센터,정신보건,"서울특별시 성북구 화랑로 63, 6층","서울특별시 성북구 하월곡동 46-1, 6층",37.60270967,127.0395315,"초발,중증정신질환자관리, 아동청소년정신건강관리,우울자살예방, 알코올중독관리 및 예방, 정신보건 환경개발",09:00,18:00,매주일요일+매주토요일,,0,6,7,,,,02-2241-6313,성북구보건소,02-2241-6133,성북구보건소,2020-07-14,3070000,서울특별시 성북구
정신건강복지센터,정신보건,부산광역시 중구 흑교로 48,,35.103844,129.025465,"정신건강증진사업, 자살예방사업, 중증정신질환자 등록관리 등",09:00,18:00,토요일+일요일+공휴일,125.45,1,0,9,,2,,051-257-7057,메리놀병원,051-600-4778,부산광역시 중구 보건소,2020-10-14,3250000,부산광역시 중구
인제군 정신건강증진센터,정신보건,강원도 인제군 인제읍 인제로 140번길 34,,38.06327706,128.1685854,"정신건강증진센터운영(정신장애인 사회재활, 아동청소년 정신보건사업) 및 자살예방사업",09:00,18:00,매주토요일+매주일요일+공휴일,101,1,3,2,0,0,,033-461-2425,인제군보건소,033-461-2122,강원도 인제군 보건소,2020-10-15,4330000,강원도 인제군
동구정신건강복지센터,정신보건,대구광역시 동구 동촌로 79,대구광역시 동구 검사동 1005-8,35.88812099,128.6512343,"정신건강증진, 자살예방사업 등",09:00,18:00,토요일+일요일+공휴일,129.03,1,2,5,0,6,,053-983-8340,대구가톨릭대학교,053-662-3237,대구광역시 동구보건소,2020-06-25,3420000,대구광역시 동구
수원시행복정신건강복지센터,정신보건,"경기도 수원시 장안구 송원로 101, 1층 (조원동, 장안구청)",경기도 수원시 장안구 조원동 888,37.3040283311,127.0103128924,"수원시마음건강 지원 사업, 생애주기별 정신건강증진 및 질환예방사업 등 수원시 정신건강 비젼 및 계획수립",09:00,18:00,토요일+일요일+공휴일,101,1,5,7,,임상심리사(1)+기타(3),,031-253-5737,장안구보건소,031-228-5907,수원시 장안구보건소,2020-08-13,3740000,경기도 수원시
수원시아동청소년정신건강복지센터,정신보건,경기도 수원시 팔달구 동말로 47번길 17,경기도 수원시 팔달구 화서동 134-3,37.2793327,126.9993516,"지역 내 아동 청소년 정신보건사업 기획, 조기중재사업 평가사업",09:00,18:00,토요일+일요일+공휴일,603,1,2,7,,기타(1),,031-242-5736,장안구보건소,031-228-5907,수원시 장안구보건소,2020-08-13,3740000,경기도 수원시
수원시성인정신건강복지센터,정신보건,경기도 수원시 팔달구 매산로 89 2층,경기도 수원시 팔달구 매산로 3가 43-1,37.2704216,127.0106758,"중증정신 질환 관리, 정신건강 증진사업",09:00,18:00,토요일+일요일+공휴일,222,1,5,8,,임상심리사(2)+작업치료사(1)+기타(1),,031-247-0887,장안구보건소,031-228-5920,수원시 장안구보건소,2020-08-13,3740000,경기도 수원시
수원시자살예방센터,정신보건,"경기도 수원시 팔달구 동말로 47번길 17, 3층 (화서동)",경기도 수원시 팔달구 화서동 134-3,37.27939602,126.999319,"수원시 자살예방사업 종합계획 수립, 자살 고위험군 등록관리 및 치료지원",09:00,18:00,토요일+일요일+공휴일,208.62,1,1,9,,임상심리사(1),,031-247-3279,장안구보건소,031-228-5920,수원시 장안구보건소,2020-08-13,3740000,경기도 수원시
다산건강생활지원센터,건강증진,경기도 남양주시 다산중앙로 7,경기도 남양주시 다산동 6150,37.613928,127.1555493483,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",09:00,18:00,토요일+일요일+공휴일,370,0,1,0,0,2,,031-590-8580,,,남양주보건소,2020-06-30,3990000,경기도 남양주시
별내건강생활지원센터,건강증진,경기도 남양주시 별내3로 64-21,경기도 남양주시 별내동 1028,37.6461674073,127.1218816736,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",09:00,18:00,토요일+일요일+공휴일,415,0,2,0,0,1,,031-590-8188,,,남양주풍양보건소,2020-06-30,3990000,경기도 남양주시
오남건강생활지원센터,건강증진,경기도 남양주시 오남읍 진건오남로 806-34,경기도 남양주시 오남읍 양지리 96-10,37.6985759603,127.2048422425,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",09:00,18:00,토요일+일요일+공휴일,243,0,2,0,1,1,,031-590-8501,,,남양주풍양보건소,2020-06-30,3990000,경기도 남양주시
용산구 시민건강관리센터,건강증진,서울특별시 용산구 녹사평대로150,,37.5324526548,126.9904782550,"대사증후군관리, 금연상담",09:00,18:00,매주토요일+매주일요일+공휴일,,2,7,0,,,,02-2199-8158,,,서울특별시 용산구 보건소,2020-06-30,3020000,서울특별시 용산구
용산구 정신건강복지센터,정신보건,서울특별시 용산구 녹사평대로150,,37.5324526548,126.9904782550,"중증정신질환자 사례관리,정신건강상담 등",09:00,18:00,매주토요일+매주일요일+공휴일,,0,4,4,,,,02-2199-8340,,,서울특별시 용산구 보건소,2020-06-30,3020000,서울특별시 용산구
